RID,SubjectName,Time(ms),MousePosX(px),MousePosY(px),GazePosX(px),GazePosY(px),ScrollTopX(px),ScrollTopY(px)
1,User14,114,968,434,539.3353,918.0215,0,0
2,User14,130,1023,434,530.6661,911.9374,0,0
3,User14,146,1080,442,533.825,912.7686,0,0
4,User14,162,1135,451,532.5042,922.3686,0,0
5,User14,178,1192,460,528.8297,919.6757,0,0
6,User14,194,1215,461,540.2253,923.52,0,0
7,User14,209,1223,463,548.5297,923.4882,0,0
8,User14,224,1228,463,530.4541,913.8173,0,0
9,User14,241,1233,463,522.4914,905.3026,0,0
10,User14,256,1239,463,522.4914,905.3026,0,0
11,User14,272,1241,463,574.6133,908.0208,0,0
12,User14,289,1243,463,574.6133,908.0208,0,0
13,User14,321,1243,463,1151.784,839.1401,0,0
14,User14,335,1243,463,1404.936,771.1622,0,0
15,User14,352,1243,463,1409.896,782.4064,0,0
16,User14,369,1243,463,1405.996,786.8352,0,0
17,User14,383,1243,463,1402.871,799.275,0,0
18,User14,400,1243,463,1415.401,792.61,0,0
19,User14,415,1243,463,1409.103,787.3877,0,0
20,User14,431,1243,463,1391.912,789.0886,0,0
21,User14,448,1243,463,1401.457,788.7971,0,0
22,User14,464,1243,463,1419.997,797.6738,0,0
23,User14,480,1243,463,1417.946,805.5612,0,0
24,User14,495,1243,463,1402.159,796.5359,0,0
25,User14,511,1243,463,1403.461,791.1528,0,0
26,User14,527,1243,463,1406.807,800.4537,0,0
27,User14,542,1243,463,1403.446,810.4621,0,0
28,User14,559,1243,463,1405.248,810.705,0,0
29,User14,574,1243,463,1401.56,806.7034,0,0
30,User14,595,1243,463,1401.56,806.7034,0,0
31,User14,642,1243,463,1412.117,818.2845,0,0
32,User14,672,1243,463,1405.526,808.3184,0,0
33,User14,689,1243,463,1405.314,813.5016,0,0
34,User14,719,1463,399,1405.237,803.4894,0,0
35,User14,736,1666,360,1408.626,803.7214,0,0
36,User14,764,2105,264,1406.741,809.0635,0,0
37,User14,779,2284,216,1409.022,806.0259,0,0
38,User14,795,2356,192,1403.655,802.3331,0,0
39,User14,814,2385,175,1405.702,811.0435,0,0
40,User14,827,2401,165,1409.724,816.265,0,0
41,User14,843,2410,159,1405.015,823.888,0,0
42,User14,859,2421,152,1405.015,823.888,0,0
43,User14,874,2436,149,1417.549,821.588,0,0
44,User14,891,2471,149,1417.549,821.588,0,0
45,User14,906,2493,150,1427.507,824.3494,0,0
46,User14,921,2513,154,1418.276,824.6431,0,0
47,User14,939,2523,157,1418.276,824.6431,0,0
48,User14,956,2526,158,1415.883,821.227,0,0
49,User14,984,2528,161,1403.647,827.6237,0,0
50,User14,1001,2528,162,1419.729,836.0229,0,0
51,User14,1032,2527,162,1409.45,832.8763,0,0
52,User14,1048,2526,162,1407.066,830.6063,0,0
53,User14,1063,2526,162,1472.796,806.4466,0,0
54,User14,1079,2526,162,1652.019,741.8686,0,0
55,User14,1095,2526,162,1653.315,538.9772,0,0
56,User14,1112,2527,162,1653.315,538.9772,0,0
57,User14,1127,2530,161,1653.315,538.9772,0,0
58,User14,1143,2537,161,1653.315,538.9772,0,0
59,User14,1158,2544,158,1653.315,538.9772,0,0
60,User14,1174,2551,157,1653.315,538.9772,0,0
61,User14,1189,2562,152,1653.315,538.9772,0,0
62,User14,1207,2597,138,2131.043,506.4251,0,0
63,User14,1240,2640,125,2129.631,142.6136,0,0
64,User14,1268,2659,122,2364.784,392.8217,0,0
65,User14,1284,2664,121,2310.047,339.8418,0,0
66,User14,1300,2670,119,2225.003,296.9261,0,0
67,User14,1316,2672,119,2179.279,249.0742,0,0
68,User14,1332,2673,119,2347.738,379.3058,0,0
69,User14,1347,2674,121,2310.025,334.4177,0,0
70,User14,1363,2675,122,2305.918,327.7299,0,0
71,User14,1380,2677,123,2312.799,313.1814,0,0
72,User14,1397,2679,128,2239.509,253.4817,0,0
73,User14,1412,2682,133,2136.397,187.386,0,0
74,User14,1428,2683,140,2381.451,292.306,0,0
75,User14,1443,2683,148,2331.514,294.8962,0,0
76,User14,1460,2683,154,2218.554,234.2313,0,0
77,User14,1491,2685,166,2072.155,103.0947,0,0
78,User14,1521,2691,185,2320.926,305.0822,0,0
79,User14,1557,2693,203,2325.873,328.2696,0,0
80,User14,1584,2686,214,2354.531,299.9993,0,0
81,User14,1601,2668,222,2383.978,350.8741,0,0
82,User14,1615,2645,229,2393.783,371.7952,0,0
83,User14,1631,2607,233,2395.919,345.4048,0,0
84,User14,1647,2584,237,2392.963,345.3092,0,0
85,User14,1664,2557,237,2395.716,362.2715,0,0
86,User14,1694,2478,237,2368.128,347.7264,0,0
87,User14,1710,2440,237,2378.927,341.4282,0,0
88,User14,1726,2400,237,2360.333,330.7123,0,0
89,User14,1758,2372,237,2356.862,342.7702,0,0
90,User14,1786,2367,237,2421.035,348.6951,0,0
91,User14,1803,2365,235,2406.49,350.9157,0,0
92,User14,1818,2365,234,2404.466,359.0289,0,0
93,User14,1834,2365,233,2390.412,345.0085,0,0
94,User14,1849,2365,231,2328.329,358.6957,0,0
95,User14,1866,2365,227,2272.771,405.1572,0,0
96,User14,1897,2366,224,2270.817,417.0946,0,0
97,User14,1913,2366,224,2267.593,418.2006,0,0
98,User14,1930,2366,224,2260.704,431.2164,0,0
99,User14,1946,2366,222,2253.272,436.4951,0,0
100,User14,1962,2366,219,2260.281,418.7262,0,0
101,User14,1978,2369,217,2264.504,418.4593,0,0
102,User14,1994,2369,214,2264.777,426.4796,0,0
103,User14,2009,2370,211,2269.984,422.9441,0,0
104,User14,2026,2371,209,2269.32,430.1282,0,0
105,User14,2042,2373,207,2270.283,425.5373,0,0
106,User14,2058,2374,204,2274.179,429.3522,0,0
107,User14,2074,2375,203,2274.36,427.2464,0,0
108,User14,2091,2375,201,2274.36,427.2464,0,0
109,User14,2106,2377,199,2276.802,420.6541,0,0
110,User14,2123,2378,198,2280.25,419.7763,0,0
