RID,SubjectName,Time(ms),MousePosX(px),MousePosY(px),GazePosX(px),GazePosY(px),ScrollTopX(px),ScrollTopY(px)
1,User20,120,677,475,607.9391,362.7422,0,0
2,User20,149,677,475,594.251,356.0452,0,0
3,User20,166,677,475,587.2075,303.5405,0,0
4,User20,181,677,475,568.772,297.5051,0,0
5,User20,196,677,475,568.772,297.5051,0,0
6,User20,213,677,475,568.772,297.5051,0,0
7,User20,228,677,475,585.8337,320.8388,0,0
8,User20,244,677,475,585.8337,320.8388,0,0
9,User20,260,677,475,585.8337,320.8388,0,0
10,User20,276,677,475,439.9469,384.5073,0,0
11,User20,291,677,475,439.9469,384.5073,0,0
12,User20,307,677,475,431.3216,396.6434,0,0
13,User20,322,677,475,431.3216,396.6434,0,0
14,User20,339,812,557,453.3285,488.3642,0,0
15,User20,355,928,645,487.5878,631.1511,0,0
16,User20,372,1057,724,487.5878,631.1511,0,0
17,User20,388,1178,813,452.6864,488.1314,0,0
18,User20,403,1271,877,452.6864,488.1314,0,0
19,User20,417,1315,905,451.7893,475.1243,0,0
20,User20,433,1387,950,544.8384,510.283,0,0
21,User20,449,1479,999,539.0372,519.7814,0,0
22,User20,465,1493,999,477.0629,689.6629,0,0
23,User20,480,1500,999,434.1518,912.326,0,0
24,User20,496,1503,999,434.1518,912.326,0,0
25,User20,512,1505,999,435.2966,1045.319,0,0
26,User20,528,1506,999,428.9379,1094.099,0,0
27,User20,545,1506,999,428.1985,1096.064,0,0
28,User20,560,1506,999,429.8518,1114.21,0,0
29,User20,576,1506,999,440.6114,1118.241,0,0
30,User20,592,1507,999,415.9586,1099.208,0,0
31,User20,608,1508,999,412.1773,1100.078,0,0
32,User20,624,1510,999,430.0895,1107.22,0,0
33,User20,640,1516,989,430.0895,1107.22,0,0
34,User20,656,1536,945,422.9891,1106.296,0,0
35,User20,671,1546,935,427.603,1101.562,0,0
36,User20,687,1552,928,428.2059,1102.151,0,0
37,User20,702,1555,924,428.2059,1102.151,0,0
38,User20,718,1556,922,882.9012,940.9888,0,0
39,User20,733,1556,920,1101.447,819.1276,0,0
40,User20,749,1556,919,1337.078,681.4553,0,0
41,User20,765,1556,919,1340.047,672.5479,0,0
42,User20,781,1556,919,1344.473,655.6425,0,0
43,User20,797,1556,919,1344.473,655.6425,0,0
44,User20,856,1556,919,1358.695,670.7905,0,0
45,User20,815,1556,919,1344.473,655.6425,0,0
46,User20,877,1556,919,1364.096,696.0974,0,0
47,User20,894,1556,919,1376.347,665.3015,0,0
48,User20,909,1556,919,1376.767,630.3228,0,0
49,User20,925,1556,919,1355.97,651.2214,0,0
50,User20,942,1556,919,1346.162,643.6146,0,0
51,User20,959,1556,919,1343.563,636.564,0,0
52,User20,991,1556,919,1343.563,636.564,0,0
53,User20,1006,1556,919,1331.261,614.6124,0,0
54,User20,1021,1556,919,1353.14,607.816,0,0
55,User20,1036,1556,919,1360.761,606.1135,0,0
56,User20,1053,1556,919,1360.761,606.1135,0,0
57,User20,1070,1556,919,1348.391,624.0067,0,0
58,User20,1084,1556,919,1348.017,644.0303,0,0
59,User20,1100,1556,919,1334.861,675.4998,0,0
60,User20,1116,1556,919,1311.85,735.8591,0,0
61,User20,1133,1556,919,1312.503,716.0129,0,0
62,User20,1148,1556,919,1319.863,700.9223,0,0
63,User20,1164,1556,919,1300.667,745.1025,0,0
64,User20,1180,1556,919,1303.37,741.0828,0,0
65,User20,1196,1580,894,1314.721,682.4889,0,0
66,User20,1212,1697,802,1307.475,699.7589,0,0
67,User20,1227,1806,700,1291.102,708.0768,0,0
68,User20,1242,1898,572,1299.06,703.2635,0,0
69,User20,1258,1982,502,1320.91,712.4879,0,0
70,User20,1275,2019,447,1315.729,730.8538,0,0
71,User20,1290,2041,415,1297.96,724.779,0,0
72,User20,1305,2058,396,1299.705,715.5964,0,0
73,User20,1323,2067,389,1307.226,737.7955,0,0
74,User20,1337,2076,383,1307.226,737.7955,0,0
