RID,SubjectName,Time(ms),MousePosX(px),MousePosY(px),GazePosX(px),GazePosY(px),ScrollTopX(px),ScrollTopY(px)
1,User12,121,673,459,658.8634,296.4969,0,0
2,User12,136,673,459,668.4014,296.9573,0,0
3,User12,160,673,459,669.5698,301.5633,0,0
4,User12,168,673,459,669.5698,301.5633,0,0
5,User12,185,673,459,664.3288,310.1808,0,0
6,User12,200,673,459,670.891,312.8497,0,0
7,User12,216,673,459,676.3609,302.8584,0,0
8,User12,231,673,459,666.0421,287.6958,0,0
9,User12,248,673,459,706.736,308.3259,0,0
10,User12,264,673,459,706.736,308.3259,0,0
11,User12,280,673,459,925.6357,380.6145,0,0
12,User12,297,673,459,1164.35,476.2482,0,0
13,User12,313,673,459,1268.366,540.0104,0,0
14,User12,329,723,464,1268.056,564.3437,0,0
15,User12,366,821,487,1265.461,546.358,0,0
16,User12,388,913,507,1261.452,563.7032,0,0
17,User12,405,968,514,1265.235,566.7532,0,0
18,User12,421,1022,514,1264.303,558.8016,0,0
19,User12,438,1049,511,1257.997,556.8345,0,0
20,User12,451,1079,511,1256.77,549.0926,0,0
21,User12,468,1146,511,1251.42,547.4527,0,0
22,User12,484,1223,511,1244.041,548.0344,0,0
23,User12,499,1290,508,1253.469,560.141,0,0
24,User12,516,1331,504,1262.754,551.6404,0,0
25,User12,534,1377,496,1264.971,549.1383,0,0
26,User12,548,1388,493,1275.87,538.9291,0,0
27,User12,564,1399,485,1289.971,554.2082,0,0
28,User12,581,1433,468,1293.474,591.8471,0,0
29,User12,597,1537,441,1293.474,591.8471,0,0
30,User12,631,1885,362,1301.498,592.3047,0,0
31,User12,661,1997,347,1301.498,592.3047,0,0
32,User12,692,2003,347,1282.335,616.5827,0,0
33,User12,707,2003,347,1285.041,605.0451,0,0
34,User12,723,2003,347,1291.273,600.0276,0,0
35,User12,738,2003,347,1280.246,597.9151,0,0
36,User12,753,2003,347,1273.24,593.2279,0,0
37,User12,769,2003,347,1277.803,613.9035,0,0
38,User12,785,2003,347,1294.419,616.28,0,0
39,User12,801,2003,347,1303.319,605.8438,0,0
40,User12,817,2003,347,1300.138,612.9854,0,0
41,User12,832,2003,347,1389.675,597.657,0,0
42,User12,848,2003,347,1478.559,527.8483,0,0
43,User12,865,2003,347,2194.484,174.1964,0,0
44,User12,882,2003,347,2198.99,170.7212,0,0
45,User12,913,2070,431,2168.26,103.1655,0,0
46,User12,928,2116,479,2176.965,102.4986,0,0
47,User12,944,2165,524,2183.002,113.2133,0,0
48,User12,960,2184,537,2183.002,113.2133,0,0
49,User12,976,2190,540,2182.111,115.9386,0,0
50,User12,1007,2190,541,2221.912,121.0094,0,0
51,User12,1022,2190,541,2224.047,121.2861,0,0
52,User12,1038,2190,541,2205.361,109.8001,0,0
53,User12,1081,2191,540,2251.268,105.877,0,0
54,User12,1136,2191,540,2350.796,-11.23408,0,0
55,User12,1150,2191,540,2346.36,-1.723682,0,0
56,User12,1167,2191,540,2348.872,-18.69102,0,0
57,User12,1182,2191,540,2347.934,-22.7589,0,0
58,User12,1196,2191,540,2365.938,-25.8374,0,0
59,User12,1214,2191,540,2370.383,-25.80304,0,0
60,User12,1230,2191,540,2347.289,-20.87628,0,0
61,User12,1260,2191,540,2350.955,-19.36936,0,0
62,User12,1276,2204,526,2356.608,-17.12107,0,0
63,User12,1292,2288,461,2359.612,-27.69935,0,0
64,User12,1307,2442,342,1703.179,216.7048,0,0
65,User12,1324,2562,261,1652.985,293.1621,0,0
66,User12,1339,2620,199,1464.9,412.9705,0,0
67,User12,1365,2649,157,1469.92,453.6566,0,0
68,User12,1401,2658,138,1470.349,495.1384,0,0
69,User12,1417,2658,136,1461.799,492.0407,0,0
70,User12,1435,2658,125,1467.06,496.7226,0,0
71,User12,1449,2656,114,1463.59,513.6516,0,0
72,User12,1465,2656,94,1467.339,523.0471,0,0
73,User12,1482,2656,87,1474.769,503.8123,0,0
