RID,SubjectName,Time(ms),MousePosX(px),MousePosY(px),GazePosX(px),GazePosY(px),ScrollTopX(px),ScrollTopY(px)
1,User19,110,687,464,720.7051,354.3612,0,0
2,User19,123,687,464,724.7257,350.612,0,0
3,User19,136,687,464,724.7257,350.612,0,0
4,User19,150,687,464,718.0604,345.8582,0,0
5,User19,163,687,464,718.0604,345.8582,0,0
6,User19,188,687,464,717.6046,370.6739,0,0
7,User19,202,687,464,717.6046,370.6739,0,0
8,User19,215,687,464,717.1062,357.7095,0,0
9,User19,228,687,464,646.2061,378.0667,0,0
10,User19,241,687,464,599.8173,385.4605,0,0
11,User19,267,687,464,607.8044,391.5027,0,0
12,User19,280,687,464,594.2773,396.1864,0,0
13,User19,294,687,464,607.4933,385.9499,0,0
14,User19,307,687,464,617.7681,389.7118,0,0
15,User19,319,687,464,625.1398,388.5982,0,0
16,User19,346,705,466,626.01,392.0001,0,0
17,User19,360,710,465,624.1042,390.8773,0,0
18,User19,373,747,457,650.1241,406.3922,0,0
19,User19,386,798,450,846.0648,478.0322,0,0
20,User19,399,845,450,846.0648,478.0322,0,0
21,User19,412,899,450,1271.027,605.0687,0,0
22,User19,434,955,450,1271.027,605.0687,0,0
23,User19,452,1040,450,1410.737,667.4183,0,0
24,User19,466,1094,450,1410.737,667.4183,0,0
25,User19,482,1150,450,1434.276,655.9979,0,0
26,User19,498,1217,454,1434.805,647.5491,0,0
27,User19,513,1273,458,1427.508,654.7,0,0
28,User19,530,1316,464,1441.771,661.4657,0,0
29,User19,545,1321,464,1445.178,656.8533,0,0
30,User19,561,1325,466,1437.649,653.4398,0,0
31,User19,577,1328,466,1425.673,658.4026,0,0
32,User19,593,1342,469,1429.615,658.6902,0,0
33,User19,610,1379,480,1449.504,630.5734,0,0
34,User19,626,1399,484,1433.319,616.0567,0,0
35,User19,641,1408,487,1421.921,638.6236,0,0
36,User19,657,1413,487,1420.193,650.6473,0,0
37,User19,674,1415,487,1417.802,646.8066,0,0
38,User19,689,1417,487,1405.484,649.3786,0,0
39,User19,706,1418,488,1413.593,626.607,0,0
40,User19,721,1426,491,1419,620.6653,0,0
41,User19,738,1431,492,1424.596,622.7065,0,0
42,User19,753,1434,494,1436.459,630.9392,0,0
43,User19,769,1434,494,1428.777,647.1834,0,0
44,User19,786,1434,494,1428.777,647.1834,0,0
45,User19,801,1434,494,1425.467,650.0167,0,0
46,User19,817,1434,494,1425.467,650.0167,0,0
47,User19,863,1434,494,1446.588,633.1617,0,0
48,User19,887,1434,494,1449.725,638.1451,0,0
49,User19,911,1434,494,1417.853,644.265,0,0
50,User19,927,1434,494,1413.348,630.202,0,0
51,User19,944,1434,494,1410.601,618.255,0,0
52,User19,959,1434,494,1410.7,635.3453,0,0
53,User19,979,1434,494,1409.4,641.1724,0,0
54,User19,1007,1434,494,1415.987,667.1935,0,0
55,User19,1023,1434,494,1423.496,651.6693,0,0
56,User19,1039,1434,494,1406.098,659.2076,0,0
57,User19,1055,1434,494,1385.64,669.5625,0,0
58,User19,1071,1434,494,1373.947,714.9272,0,0
59,User19,1086,1434,494,1383.708,725.0657,0,0
60,User19,1105,1520,484,1400.682,689.0087,0,0
61,User19,1119,1585,474,1400.682,689.0087,0,0
62,User19,1135,1618,466,1405.339,655.697,0,0
63,User19,1152,1646,456,1411.366,639.4244,0,0
64,User19,1169,1697,437,1411.366,639.4244,0,0
65,User19,1183,1719,426,1413.226,659.4211,0,0
66,User19,1198,1794,399,1395.389,646.1563,0,0
67,User19,1214,1912,372,1401.903,663.9202,0,0
68,User19,1231,1953,363,1401.473,679.5631,0,0
69,User19,1246,1994,352,1401.057,667.9312,0,0
70,User19,1261,2024,344,1399.051,647.2554,0,0
71,User19,1277,2042,339,1387.245,663.0429,0,0
72,User19,1294,2053,336,1389.327,666.8546,0,0
73,User19,1310,2059,333,1384.958,642.9557,0,0
74,User19,1325,2066,330,2065.517,411.3128,0,0
75,User19,1343,2081,323,2065.517,411.3128,0,0
76,User19,1357,2126,303,2442.916,301.4253,0,0
77,User19,1372,2201,273,2385.921,271.7974,0,0
78,User19,1388,2274,237,2379.07,231.0456,0,0
79,User19,1405,2343,203,2388.218,223.2238,0,0
80,User19,1420,2364,190,2373.34,228.6577,0,0
81,User19,1442,2376,179,2375.354,229.2526,0,0
82,User19,1468,2383,171,2392.209,211.0872,0,0
83,User19,1484,2392,168,2392.209,211.0872,0,0
84,User19,1500,2435,164,2392.244,218.0003,0,0
85,User19,1517,2460,167,2397.938,210.096,0,0
86,User19,1530,2469,166,2415.505,199.3574,0,0
87,User19,1546,2473,165,2418.4,186.2499,0,0
88,User19,1563,2479,160,2413.107,173.738,0,0
89,User19,1578,2481,159,2439.141,166.0529,0,0
90,User19,1594,2482,157,2483.972,175.5459,0,0
91,User19,1612,2482,157,2458.967,157.5657,0,0
92,User19,1625,2482,157,2474.417,161.8235,0,0
93,User19,1641,2483,155,2482.384,173.0744,0,0
94,User19,1657,2485,151,2476.214,151.3232,0,0
95,User19,1673,2486,146,2494.417,144.7419,0,0
96,User19,1689,2487,142,2494.116,149.6239,0,0
97,User19,1705,2489,139,2498.398,136.6147,0,0
98,User19,1721,2489,136,2505.651,123.3772,0,0
99,User19,1737,2489,136,2507.537,119.7298,0,0
100,User19,1765,2489,134,2506.792,122.6673,0,0
101,User19,1768,2489,134,2506.792,122.6673,0,0
102,User19,1783,2489,133,2505.604,127.4323,0,0
103,User19,1801,2489,133,2505.604,127.4323,0,0
104,User19,1815,2489,132,2491.756,107.2318,0,0
105,User19,1831,2490,130,2485.862,96.42648,0,0
106,User19,1847,2491,124,2486.418,101.588,0,0
107,User19,1863,2491,116,2493.828,94.05692,0,0
108,User19,1879,2491,109,2497.795,96.51325,0,0
109,User19,1895,2491,104,2487.291,101.6563,0,0
110,User19,1913,2491,98,2485.427,99.84663,0,0
111,User19,1942,2491,94,2502.704,75.78988,0,0
112,User19,1958,2491,94,2498.636,67.87152,0,0
113,User19,1974,2491,93,2490.618,71.88697,0,0
114,User19,2005,2491,93,2479.812,62.79028,0,0
115,User19,2022,2491,93,2483.104,69.01086,0,0
116,User19,2038,2491,93,2483.648,68.54332,0,0
117,User19,2055,2491,93,2483.648,68.54332,0,0
118,User19,2069,2491,93,2494.057,34.57948,0,0
119,User19,2085,2491,93,2494.057,34.57948,0,0
120,User19,2102,2491,93,2498.645,11.08335,0,0
121,User19,2116,2491,93,2510.818,-42.15852,0,0
122,User19,2134,2491,93,2510.818,-42.15852,0,0
123,User19,2149,2491,93,2526.938,-45.13834,0,0
124,User19,2164,2491,93,2517.14,-39.44659,0,0
125,User19,2180,2491,93,2495.46,-46.70948,0,0
126,User19,2196,2491,93,2482.665,-34.85589,0,0
127,User19,2212,2491,93,2504.541,-35.56539,0,0
128,User19,2228,2491,93,2495.201,-41.73338,0,0
129,User19,2244,2489,93,2493.355,-37.87333,0,0
130,User19,2259,2491,93,2497.927,-33.9395,0,0
131,User19,2275,2491,93,2503.369,-32.61529,0,0
132,User19,2292,2491,93,2513.102,-33.21672,0,0
133,User19,2307,2491,93,2508.043,-46.15281,0,0
134,User19,2323,2491,93,2497.92,-52.9768,0,0
135,User19,2339,2491,93,2510.785,-54.32686,0,0
136,User19,2353,2491,93,2516.087,-61.46938,0,0
137,User19,2370,2491,93,2493.246,-43.97794,0,0
138,User19,2386,2491,93,2508.789,-35.81816,0,0
139,User19,2402,2491,93,2510.655,-32.37983,0,0
140,User19,2418,2491,93,2510.655,-32.37983,0,0
141,User19,2434,2491,93,2509.671,-38.24971,0,0
142,User19,2449,2491,93,2495.871,-30.01048,0,0
143,User19,2466,2491,93,2495.871,-30.01048,0,0
144,User19,2483,2491,93,2485.151,-32.91916,0,0
145,User19,2497,2491,93,2500.527,-35.4607,0,0
146,User19,2514,2491,93,2503.106,-25.58707,0,0
147,User19,2529,2491,93,2496.239,-28.3829,0,0
148,User19,2545,2491,93,2495.801,-30.16022,0,0
149,User19,2561,2491,93,2496.235,-39.99745,0,0
150,User19,2577,2491,93,2483.28,-49.38649,0,0
151,User19,2593,2491,93,2494.447,-36.96213,0,0
152,User19,2610,2491,93,2504.089,-14.48397,0,0
153,User19,2624,2491,93,1853.008,29.71437,0,0
154,User19,2641,2491,93,1754.407,34.477,0,0
155,User19,2656,2491,93,1427.744,82.04499,0,0
156,User19,2673,2491,93,1443.326,127.6289,0,0
157,User19,2688,2491,93,1476.934,120.6563,0,0
158,User19,2705,2491,93,1472.532,128.7181,0,0
159,User19,2721,2491,93,1472.532,128.7181,0,0
160,User19,2736,2491,93,1463.524,154.5944,0,0
161,User19,2754,2491,93,1482.705,162.6096,0,0
162,User19,2769,2491,93,1482.79,173.6945,0,0
163,User19,2785,2491,93,1495.17,152.6096,0,0
164,User19,2800,2491,93,1495.17,152.6096,0,0
165,User19,2815,2491,93,1481.933,149.2151,0,0
166,User19,2830,2491,93,1477.207,169.9586,0,0
167,User19,2846,2491,93,1487.1,159.3014,0,0
168,User19,2863,2491,93,1479.604,158.6606,0,0
169,User19,2878,2491,93,1486.038,162.4835,0,0
170,User19,2895,2491,93,1489.391,151.5209,0,0
171,User19,2926,2491,93,1475.06,154.4343,0,0
172,User19,2943,2491,93,1470.385,170.2293,0,0
173,User19,2973,2423,119,1470.567,92.91527,0,0
174,User19,2989,2373,142,2118.404,197.3716,0,0
175,User19,3004,2326,164,2118.404,197.3716,0,0
176,User19,3020,2293,176,2118.404,197.3716,0,0
177,User19,3051,2266,190,2482.22,262.6767,0,0
178,User19,3068,2265,191,2477.747,252.0297,0,0
179,User19,3084,2265,191,2477.747,252.0297,0,0
180,User19,3099,2272,189,2474.08,240.4968,0,0
181,User19,3115,2308,181,2471.852,249.8519,0,0
182,User19,3131,2362,176,2460.287,260.9365,0,0
183,User19,3147,2422,180,2463.511,267.3115,0,0
184,User19,3162,2471,193,2471.146,264.6596,0,0
185,User19,3180,2515,209,2470.423,249.2886,0,0
186,User19,3196,2541,222,2474.766,234.2655,0,0
187,User19,3212,2545,225,2478.155,239.1935,0,0
188,User19,3227,2547,226,2483.868,239.9142,0,0
189,User19,3243,2547,228,2492.744,236.5417,0,0
190,User19,3258,2547,229,2502.549,239.9158,0,0
191,User19,3274,2547,229,2503.362,225.111,0,0
192,User19,3290,2547,229,2500.296,219.4506,0,0
193,User19,3307,2547,229,2496.773,227.4897,0,0
194,User19,3322,2547,229,2509.636,215.2116,0,0
195,User19,3338,2538,223,2510.838,176.1138,0,0
196,User19,3354,2519,205,2505.209,109.6791,0,0
197,User19,3369,2503,184,2505.823,95.37527,0,0
198,User19,3386,2480,133,2495.096,94.19524,0,0
199,User19,3404,2472,105,2510.835,80.05915,0,0
200,User19,3418,2470,93,2505.411,74.94283,0,0
201,User19,3432,2470,86,2505.411,74.94283,0,0
202,User19,3450,2470,84,2505.411,74.94283,0,0
