RID,SubjectName,Time(ms),MousePosX(px),MousePosY(px),GazePosX(px),GazePosY(px),ScrollTopX(px),ScrollTopY(px)
1,User6,120,682,435,467.6539,713.6572,0,0
2,User6,136,682,435,488.874,826.8611,0,0
3,User6,153,682,435,489.302,905.1901,0,0
4,User6,167,682,435,445.6631,919.8008,0,0
5,User6,183,682,435,450.5771,907.9267,0,0
6,User6,200,682,435,709.4366,766.6679,0,0
7,User6,214,682,435,550.9057,830.2458,0,0
8,User6,231,682,435,394.7591,878.9747,0,0
9,User6,247,682,435,450.0042,899.9397,0,0
10,User6,263,682,435,471.7577,891.8617,0,0
11,User6,279,682,435,420.1273,859.7063,0,0
12,User6,295,682,435,417.7416,858.7941,0,0
13,User6,311,713,625,370.6609,824.6829,0,0
14,User6,327,749,848,370.6609,824.6829,0,0
15,User6,342,771,1026,368.4515,841.605,0,0
16,User6,357,794,1291,368.4515,841.605,0,0
17,User6,375,800,1343,448.646,921.9981,0,0
18,User6,389,811,1432,554.3968,828.3927,0,0
19,User6,405,811,1432,399.9901,852.3735,0,0
20,User6,422,811,1432,410.865,826.1402,0,0
21,User6,438,811,1432,408.9481,855.706,0,0
22,User6,453,811,1432,403.2962,338.0864,0,0
23,User6,469,811,1432,403.2962,338.0864,0,0
24,User6,486,811,1432,413.0452,258.0547,0,0
25,User6,500,811,1432,405.3439,220.626,0,0
26,User6,517,811,1432,388.2942,235.5828,0,0
27,User6,532,811,1432,383.2187,238.0257,0,0
28,User6,548,811,1432,369.0491,213.9592,0,0
29,User6,565,811,1432,726.9685,163.6713,0,0
30,User6,580,811,1432,719.4047,173.3186,0,0
31,User6,596,811,1432,336.821,247.9684,0,0
32,User6,613,808,1530,279.1693,96.31569,0,0
33,User6,628,802,1646,281.3144,85.96099,0,0
34,User6,644,789,1776,380.2947,363.3795,0,0
35,User6,660,762,1823,380.2947,363.3795,0,0
36,User6,675,748,1823,406.4226,465.7436,0,0
37,User6,691,740,1823,406.4226,465.7436,0,0
38,User6,709,738,1823,508.6913,783.9495,0,0
39,User6,723,738,1823,543.4691,882.7969,0,0
40,User6,739,738,1823,638.5702,1097.904,0,0
41,User6,755,738,1823,633.8084,1093.01,0,0
42,User6,770,738,1823,631.421,1076.951,0,0
43,User6,786,738,1823,625.6922,1092.601,0,0
44,User6,801,738,1823,908.489,857.3425,0,0
45,User6,817,738,1823,741.8506,883.8821,0,0
46,User6,833,738,1823,739.7877,873.8505,0,0
47,User6,849,738,1823,732.132,898.2629,0,0
48,User6,865,738,1823,563.2529,971.4299,0,0
49,User6,880,738,1823,578.89,981.636,0,0
50,User6,896,738,1823,582.6981,1007.569,0,0
51,User6,913,708,1823,504.7692,982.6912,0,0
52,User6,927,664,1823,504.7692,982.6912,0,0
53,User6,941,626,1823,516.0184,975.7324,0,0
54,User6,957,596,1823,593.6614,1014.595,0,0
55,User6,976,570,1819,580.2411,1018.979,0,0
56,User6,991,563,1817,580.2411,1018.979,0,0
57,User6,1005,559,1815,601.7053,978.319,0,0
58,User6,1020,557,1812,581.5339,971.8603,0,0
59,User6,1036,554,1811,589.9724,974.1948,0,0
60,User6,1052,553,1810,656.0932,1051.709,0,0
61,User6,1068,552,1809,609.8152,1149.886,0,0
62,User6,1084,551,1808,431.4028,1393.276,0,0
63,User6,1100,549,1806,423.495,1481.834,0,0
64,User6,1116,546,1803,435.158,1591.113,0,0
65,User6,1132,541,1800,429.4405,1602.981,0,0
66,User6,1148,525,1785,497.5647,1686.452,0,0
67,User6,1164,498,1760,511.962,1671.118,0,0
68,User6,1180,481,1747,507.0813,1657.905,0,0
69,User6,1197,473,1740,510.1581,1648.147,0,0
70,User6,1216,471,1740,525.5792,1640.015,0,0
71,User6,1244,470,1740,481.4291,1684.56,0,0
72,User6,1261,470,1740,481.4291,1684.56,0,0
73,User6,1277,470,1741,499.7039,1647.697,0,0
