RID,SubjectName,Time(ms),MousePosX(px),MousePosY(px),GazePosX(px),GazePosY(px),ScrollTopX(px),ScrollTopY(px)
1,补录Uer18,114,869,453,350.9743,1309.421,0,0
2,补录Uer18,130,869,453,350.9743,1309.421,0,0
3,补录Uer18,144,869,453,350.9743,1309.421,0,0
4,补录Uer18,160,869,453,673.6337,1632.145,0,0
5,补录Uer18,176,869,453,480.6948,1431.996,0,0
6,补录Uer18,192,869,453,480.6948,1431.996,0,0
7,补录Uer18,208,869,453,506.1277,809.9205,0,0
8,补录Uer18,225,869,453,506.1277,809.9205,0,0
9,补录Uer18,240,875,457,506.1277,809.9205,0,0
10,补录Uer18,256,884,465,594.9359,1064.517,0,0
11,补录Uer18,272,895,475,603.2878,940.0546,0,0
12,补录Uer18,288,922,495,620.7137,680.3732,0,0
13,补录Uer18,304,977,532,247.1035,952.4167,0,0
14,补录Uer18,320,1009,563,247.1035,952.4167,0,0
15,补录Uer18,337,1047,598,487.0905,1320.294,0,0
16,补录Uer18,351,1087,632,487.0905,1320.294,0,0
17,补录Uer18,368,1129,676,379.1128,1004.165,0,0
18,补录Uer18,383,1181,728,379.1128,1004.165,0,0
19,补录Uer18,400,1252,824,505.3563,1084.552,0,0
20,补录Uer18,417,1302,900,505.3563,1084.552,0,0
21,补录Uer18,446,1375,1039,505.3563,1084.552,0,0
22,补录Uer18,460,1375,1039,505.3563,1084.552,0,0
23,补录Uer18,478,1375,1039,621.939,1004.218,0,0
24,补录Uer18,492,1375,1039,369.9128,890.8711,0,0
25,补录Uer18,508,1375,1039,466.7714,1283.722,0,0
26,补录Uer18,522,1375,1039,466.7714,1283.722,0,0
27,补录Uer18,538,1375,1039,456.5948,1302.368,0,0
28,补录Uer18,554,1375,1039,456.5948,1302.368,0,0
29,补录Uer18,568,1375,1039,456.5948,1302.368,0,0
30,补录Uer18,585,1375,1039,227.7535,1742.541,0,0
31,补录Uer18,600,1375,1039,227.7535,1742.541,0,0
32,补录Uer18,617,1375,1039,179.8445,1711.618,0,0
33,补录Uer18,631,1375,1039,179.8445,1711.618,0,0
34,补录Uer18,646,1272,1140,179.8445,1711.618,0,0
35,补录Uer18,662,1097,1337,350.2494,1625.236,0,0
36,补录Uer18,679,982,1450,350.2494,1625.236,0,0
37,补录Uer18,693,878,1551,221.8001,1622.695,0,0
38,补录Uer18,709,755,1652,182.635,1631.739,0,0
39,补录Uer18,724,681,1707,189.841,1598.852,0,0
40,补录Uer18,741,633,1733,202.4167,1600.292,0,0
41,补录Uer18,755,617,1744,263.3143,1640.071,0,0
42,补录Uer18,772,610,1748,243.8429,1628.991,0,0
43,补录Uer18,786,607,1749,252.539,1601.63,0,0
44,补录Uer18,802,607,1749,277.7355,1607.128,0,0
45,补录Uer18,817,607,1749,233.9908,1663.188,0,0
46,补录Uer18,833,607,1749,224.099,1707.573,0,0
47,补录Uer18,849,607,1749,260.5805,1754.085,0,0
48,补录Uer18,863,606,1749,260.5805,1754.085,0,0
49,补录Uer18,881,604,1749,237.7367,1736.7,0,0
50,补录Uer18,895,594,1749,237.7367,1736.7,0,0
51,补录Uer18,912,571,1753,210.3756,1787.405,0,0
52,补录Uer18,925,541,1761,240.5761,1685.471,0,0
53,补录Uer18,941,512,1771,238.3919,1747.611,0,0
54,补录Uer18,957,489,1778,290.9381,1757.59,0,0
55,补录Uer18,972,480,1783,301.4928,1751.374,0,0
56,补录Uer18,988,475,1784,163.0027,1856.283,0,0
57,补录Uer18,1004,475,1784,172.4505,1862.558,0,0
58,补录Uer18,1020,475,1784,315.3161,1775.546,0,0
59,补录Uer18,1035,478,1784,303.3078,1757.65,0,0
60,补录Uer18,1051,489,1782,303.3078,1757.65,0,0
61,补录Uer18,1066,497,1781,335.7421,1792.662,0,0
62,补录Uer18,1084,506,1781,335.7421,1792.662,0,0
63,补录Uer18,1099,513,1781,290.5401,1803.678,0,0
64,补录Uer18,1114,534,1779,290.5401,1803.678,0,0
65,补录Uer18,1129,561,1777,323.6758,1796.727,0,0
66,补录Uer18,1144,581,1773,323.6758,1796.727,0,0
67,补录Uer18,1160,595,1772,640.0468,1704.08,0,0
68,补录Uer18,1175,610,1770,661.3979,1670.876,0,0
69,补录Uer18,1191,620,1767,534.3715,1654.597,0,0
70,补录Uer18,1206,629,1765,536.918,1618.716,0,0
71,补录Uer18,1222,633,1765,505.9716,1788.591,0,0
72,补录Uer18,1238,635,1765,454.9048,1908.228,0,0
73,补录Uer18,1253,635,1765,551.3307,1719.654,0,0
74,补录Uer18,1269,635,1765,575.033,1731.882,0,0
75,补录Uer18,1284,635,1765,547.1617,1782.242,0,0
76,补录Uer18,1300,635,1765,547.1617,1782.242,0,0
77,补录Uer18,1317,635,1765,544.0403,1546.03,0,0
78,补录Uer18,1332,635,1765,534.9837,1507.3,0,0
79,补录Uer18,1348,635,1765,534.9837,1507.3,0,0
80,补录Uer18,1364,635,1765,453.8596,1715.258,0,0
81,补录Uer18,1378,635,1765,466.4443,1743.659,0,0
82,补录Uer18,1394,635,1765,633.6327,1626.347,0,0
83,补录Uer18,1408,635,1765,633.6327,1626.347,0,0
84,补录Uer18,1424,635,1765,628.0809,1626.067,0,0
85,补录Uer18,1441,635,1765,655.8891,1670.664,0,0
86,补录Uer18,1457,635,1765,478.2269,1702.098,0,0
87,补录Uer18,1472,635,1765,464.8159,1680.518,0,0
88,补录Uer18,1487,635,1765,517.6556,1706.567,0,0
89,补录Uer18,1502,635,1765,522.9183,1678.328,0,0
90,补录Uer18,1517,635,1765,515.8998,1691.643,0,0
91,补录Uer18,1533,635,1765,511.182,1715.858,0,0
92,补录Uer18,1550,635,1765,474.3136,1807.319,0,0
93,补录Uer18,1565,635,1765,477.7332,1776.377,0,0
94,补录Uer18,1582,635,1765,560.004,1638.146,0,0
95,补录Uer18,1597,635,1765,555.2028,1681.436,0,0
96,补录Uer18,1613,635,1765,555.2028,1681.436,0,0
97,补录Uer18,1628,635,1765,691.3723,1607.909,0,0
98,补录Uer18,1647,635,1765,691.3723,1607.909,0,0
99,补录Uer18,1674,635,1765,602.8285,1647.785,0,0
100,补录Uer18,1689,635,1765,558.251,1610.763,0,0
101,补录Uer18,1706,635,1765,575.6794,1548.877,0,0
102,补录Uer18,1736,635,1765,680.3209,1319.438,0,0
103,补录Uer18,1754,635,1765,680.3209,1319.438,0,0
104,补录Uer18,1768,635,1765,566.4297,1497.438,0,0
105,补录Uer18,1785,635,1765,513.8318,1545.021,0,0
106,补录Uer18,1798,635,1765,519.3867,1551.639,0,0
107,补录Uer18,1818,635,1765,519.3867,1551.639,0,0
108,补录Uer18,1852,635,1765,569.0623,1529.225,0,0
109,补录Uer18,1880,635,1765,576.951,1517.417,0,0
110,补录Uer18,1896,635,1765,541.7308,1587.039,0,0
111,补录Uer18,1927,635,1765,521.1226,1442.797,0,0
112,补录Uer18,1943,635,1765,410.6159,1496.149,0,0
113,补录Uer18,1958,635,1765,455.7862,1515.087,0,0
114,补录Uer18,1972,635,1765,481.0472,1484.19,0,0
115,补录Uer18,1989,635,1765,448.6987,1476.524,0,0
116,补录Uer18,2003,635,1765,461.5609,1430.905,0,0
117,补录Uer18,2021,635,1765,1035.861,826.7762,0,0
118,补录Uer18,2035,635,1765,1061.96,752.1205,0,0
119,补录Uer18,2054,635,1765,1061.96,752.1205,0,0
120,补录Uer18,2082,635,1765,1407.547,462.4801,0,0
121,补录Uer18,2099,635,1765,1406.643,455.7601,0,0
122,补录Uer18,2114,635,1765,1367.342,402.332,0,0
123,补录Uer18,2129,635,1765,1367.342,402.332,0,0
124,补录Uer18,2148,658,1648,1317.599,370.8992,0,0
125,补录Uer18,2162,677,1593,1317.599,370.8992,0,0
126,补录Uer18,2179,782,1261,1317.599,370.8992,0,0
127,补录Uer18,2195,896,1069,1317.599,370.8992,0,0
128,补录Uer18,2230,1000,902,1317.599,370.8992,0,0
129,补录Uer18,2263,1253,763,1317.599,370.8992,0,0
130,补录Uer18,2291,1445,725,1495.937,148.9144,0,0
131,补录Uer18,2307,1488,719,1495.937,148.9144,0,0
132,补录Uer18,2339,1510,719,1170.929,241.3904,0,0
133,补录Uer18,2371,1510,719,1377.851,192.9082,0,0
134,补录Uer18,2386,1510,719,1807.728,75.91129,0,0
135,补录Uer18,2401,1510,719,1807.728,75.91129,0,0
136,补录Uer18,2417,1510,719,1769.768,137.1407,0,0
137,补录Uer18,2433,1510,719,1769.768,137.1407,0,0
138,补录Uer18,2449,1510,719,1729.275,94.38346,0,0
139,补录Uer18,2465,1510,719,1729.275,94.38346,0,0
140,补录Uer18,2482,1510,719,1729.275,94.38346,0,0
141,补录Uer18,2497,1510,719,1739.618,106.395,0,0
142,补录Uer18,2514,1510,719,1739.618,106.395,0,0
143,补录Uer18,2530,1510,719,1699.792,78.05656,0,0
144,补录Uer18,2545,1510,719,1699.792,78.05656,0,0
145,补录Uer18,2562,1596,687,1713.484,87.47871,0,0
146,补录Uer18,2578,1685,624,1713.484,87.47871,0,0
147,补录Uer18,2593,1748,608,1792.883,134.7286,0,0
148,补录Uer18,2609,1828,577,1792.883,134.7286,0,0
149,补录Uer18,2624,1851,567,1794.234,101.3766,0,0
150,补录Uer18,2643,1860,563,2177.302,211.0993,0,0
151,补录Uer18,2658,1866,561,2295.313,289.9405,0,0
152,补录Uer18,2674,1871,560,2251.992,289.9243,0,0
153,补录Uer18,2689,1879,559,2291.61,291.6684,0,0
154,补录Uer18,2706,1899,555,2305.673,269.2848,0,0
155,补录Uer18,2721,1931,551,2366.512,220.3593,0,0
156,补录Uer18,2751,2018,536,2245.661,285.4514,0,0
157,补录Uer18,2767,2067,520,2245.661,285.4514,0,0
158,补录Uer18,2783,2134,489,2220.827,455.3176,0,0
159,补录Uer18,2798,2155,474,2247.389,377.4158,0,0
160,补录Uer18,2815,2191,440,2290.898,298.7227,0,0
161,补录Uer18,2830,2191,439,2290.898,298.7227,0,0
162,补录Uer18,2844,2191,439,2281.236,345.5779,0,0
163,补录Uer18,2862,2191,439,2116.241,115.1114,0,0
164,补录Uer18,2877,2191,439,2116.241,115.1114,0,0
165,补录Uer18,2892,2191,439,2157.532,418.3426,0,0
166,补录Uer18,2908,2191,439,2182.528,412.0454,0,0
167,补录Uer18,2924,2191,439,2209.286,436.494,0,0
168,补录Uer18,2940,2191,439,2195.581,452.7054,0,0
169,补录Uer18,2954,2191,439,2172.498,432.8153,0,0
170,补录Uer18,2968,2191,439,2172.498,432.8153,0,0
171,补录Uer18,2983,2191,439,2185.086,443.606,0,0
172,补录Uer18,2998,2191,439,2185.086,443.606,0,0
173,补录Uer18,3015,2191,439,2179.761,445.1834,0,0
174,补录Uer18,3030,2226,392,2179.761,445.1834,0,0
175,补录Uer18,3047,2276,336,2211.131,491.3002,0,0
176,补录Uer18,3064,2340,269,2211.131,491.3002,0,0
177,补录Uer18,3098,2406,199,2077.66,375.0786,0,0
178,补录Uer18,3126,2442,170,2077.66,375.0786,0,0
179,补录Uer18,3142,2451,167,2393.433,249.4591,0,0
180,补录Uer18,3172,2466,161,2383.393,287.3282,0,0
181,补录Uer18,3201,2481,153,2190.323,483.2329,0,0
182,补录Uer18,3216,2492,146,2190.323,483.2329,0,0
183,补录Uer18,3234,2505,136,2190.323,483.2329,0,0
184,补录Uer18,3247,2511,130,2150.602,462.2463,0,0
185,补录Uer18,3266,2517,124,2150.602,462.2463,0,0
186,补录Uer18,3296,2517,123,2181.974,433.674,0,0
187,补录Uer18,3312,2517,123,2181.974,433.674,0,0
188,补录Uer18,3328,2507,129,2181.974,433.674,0,0
189,补录Uer18,3360,2435,166,2220.146,318.2054,0,0
190,补录Uer18,3375,2409,174,2219.406,413.534,0,0
191,补录Uer18,3410,2387,181,2236.912,359.9687,0,0
192,补录Uer18,3437,2382,183,2196.597,388.8582,0,0
193,补录Uer18,3460,2382,184,2165.159,217.2544,0,0
194,补录Uer18,3485,2382,184,2171.135,489.3053,0,0
195,补录Uer18,3502,2382,185,2171.135,489.3053,0,0
196,补录Uer18,3516,2382,185,2112.132,347.5475,0,0
197,补录Uer18,3531,2382,185,2141.09,283.0432,0,0
198,补录Uer18,3548,2382,185,2168.747,344.0643,0,0
199,补录Uer18,3562,2382,185,2168.747,344.0643,0,0
200,补录Uer18,3578,2382,185,2198.722,347.0594,0,0
201,补录Uer18,3595,2385,185,2198.722,347.0594,0,0
202,补录Uer18,3624,2411,205,2244.528,323.4391,0,0
203,补录Uer18,3644,2427,220,2213.576,405.1047,0,0
204,补录Uer18,3680,2467,252,2231.175,444.3185,0,0
205,补录Uer18,3702,2473,256,2392.159,221.7226,0,0
