RID,SubjectName,Time(ms),MousePosX(px),MousePosY(px),GazePosX(px),GazePosY(px),ScrollTopX(px),ScrollTopY(px)
1,User7,137,745,425,696.1334,206.6526,0,0
2,User7,153,745,425,696.1334,206.6526,0,0
3,User7,168,745,425,700.3954,196.1188,0,0
4,User7,184,745,425,700.3954,196.1188,0,0
5,User7,198,745,425,702.0019,188.3313,0,0
6,User7,214,745,425,702.0019,188.3313,0,0
7,User7,230,745,425,695.1204,197.9164,0,0
8,User7,246,745,425,695.6405,207.2006,0,0
9,User7,263,745,425,699.1274,205.341,0,0
10,User7,279,745,425,699.1274,205.341,0,0
11,User7,294,745,425,687.4375,275.153,0,0
12,User7,310,745,425,683.5405,360.156,0,0
13,User7,326,745,425,625.9514,963.9598,0,0
14,User7,342,745,425,609.8212,980.3798,0,0
15,User7,358,745,425,604.7219,980.7704,0,0
16,User7,374,745,425,606.8403,974.6461,0,0
17,User7,389,745,425,608.0596,982.0439,0,0
18,User7,407,745,425,608.4098,977.3504,0,0
19,User7,421,745,425,608.8187,975.4832,0,0
20,User7,438,745,425,602.1965,982.6233,0,0
21,User7,454,745,425,604.0427,977.8115,0,0
22,User7,470,745,425,600.287,969.0525,0,0
23,User7,485,745,425,600.2602,962.573,0,0
24,User7,502,745,425,600.2602,962.573,0,0
25,User7,535,737,459,611.4431,959.002,0,0
26,User7,550,737,459,616.5347,966.3033,0,0
27,User7,566,737,459,614.224,973.3735,0,0
28,User7,581,737,459,615.548,984.2891,0,0
29,User7,599,737,459,614.1176,980.9534,0,0
30,User7,614,737,459,615.1061,978.6764,0,0
31,User7,629,737,459,625.074,983.2087,0,0
32,User7,645,726,584,622.0031,986.5017,0,0
33,User7,662,719,717,613.3036,987.5728,0,0
34,User7,677,725,952,614.7362,984.9344,0,0
35,User7,694,739,1123,614.6832,992.6062,0,0
36,User7,710,744,1246,615.4092,996.6429,0,0
37,User7,724,749,1299,574.6845,968.5857,0,0
38,User7,742,756,1368,533.739,909.5976,0,0
39,User7,757,777,1464,445.1058,795.5573,0,0
40,User7,773,807,1554,424.4537,782.0948,0,0
41,User7,788,807,1555,423.7326,780.0278,0,0
42,User7,805,807,1555,427.5859,788.5469,0,0
43,User7,821,807,1555,430.5088,785.6274,0,0
44,User7,836,807,1555,434.5049,782.0658,0,0
45,User7,853,807,1555,435.6443,787.6169,0,0
46,User7,870,807,1555,424.8446,781.1949,0,0
47,User7,885,807,1555,413.0077,781.2329,0,0
48,User7,900,807,1555,413.0077,781.2329,0,0
49,User7,916,807,1555,421.5098,783.6453,0,0
50,User7,934,807,1555,421.5098,783.6453,0,0
51,User7,948,807,1555,434.3156,803.9682,0,0
52,User7,964,807,1555,434.3156,803.9682,0,0
53,User7,984,807,1555,435.245,811.7712,0,0
54,User7,1011,716,1720,439.0601,793.3996,0,0
55,User7,1027,656,1785,429.7925,794.006,0,0
56,User7,1044,616,1819,432.9496,767.3535,0,0
57,User7,1059,579,1823,431.7588,716.998,0,0
58,User7,1074,556,1823,422.2308,671.4521,0,0
59,User7,1091,534,1823,423.0786,672.3333,0,0
60,User7,1107,513,1823,428.826,671.6264,0,0
61,User7,1123,505,1821,428.3398,671.2457,0,0
62,User7,1139,494,1820,421.2394,680.3546,0,0
63,User7,1155,481,1816,426.6568,687.5579,0,0
64,User7,1171,474,1813,430.1318,682.9169,0,0
65,User7,1187,470,1811,426.5294,664.7096,0,0
66,User7,1203,467,1810,426.5294,664.7096,0,0
67,User7,1218,466,1809,430.999,659.4882,0,0
68,User7,1235,463,1804,425.5381,662.2585,0,0
69,User7,1251,463,1802,425.5381,662.2585,0,0
70,User7,1267,463,1798,429.5573,672.2727,0,0
71,User7,1281,463,1795,421.8943,665.4656,0,0
72,User7,1299,466,1792,421.8943,665.4656,0,0
73,User7,1330,475,1785,421.6243,659.6608,0,0
74,User7,1360,477,1782,414.6547,663.8879,0,0
75,User7,1376,477,1780,415.1743,655.8994,0,0
76,User7,1392,479,1779,394.7857,667.5665,0,0
77,User7,1408,480,1777,377.2955,690.045,0,0
78,User7,1424,481,1774,380.6851,678.7343,0,0
79,User7,1441,488,1772,378.808,673.7603,0,0
80,User7,1457,495,1771,380.9095,681.2646,0,0
81,User7,1472,503,1769,386.5817,681.9814,0,0
82,User7,1489,510,1769,385.3803,683.0213,0,0
83,User7,1505,516,1769,384.8005,686.3796,0,0
84,User7,1519,519,1769,386.8245,684.7836,0,0
85,User7,1535,521,1769,382.2694,680.5959,0,0
86,User7,1552,522,1769,387.8792,697.734,0,0
87,User7,1568,524,1770,418.291,717.9716,0,0
88,User7,1582,525,1772,418.291,717.9716,0,0
89,User7,1601,527,1774,545.5659,1825.699,0,0
90,User7,1633,529,1775,537.0444,1859.081,0,0
91,User7,1660,532,1776,530.9582,1870.749,0,0
92,User7,1676,532,1776,518.186,1869.224,0,0
93,User7,1692,532,1776,520.3197,1877.03,0,0
94,User7,1708,532,1776,541.7195,1815.187,0,0
95,User7,1723,532,1776,530.8105,1760.763,0,0
96,User7,1739,532,1776,515.9523,1750.985,0,0
97,User7,1755,532,1776,520.6766,1747.183,0,0
98,User7,1773,532,1776,527.9545,1740.091,0,0
99,User7,1788,532,1776,527.9545,1740.091,0,0
100,User7,1804,532,1776,524.1153,1740.938,0,0
101,User7,1819,532,1776,526.858,1733.054,0,0
102,User7,1835,532,1776,512.3073,1753.12,0,0
103,User7,1852,532,1776,512.8402,1757.594,0,0
104,User7,1868,532,1776,515.9794,1753.375,0,0
105,User7,1883,532,1776,516.7277,1747.495,0,0
106,User7,1902,532,1776,516.7277,1747.495,0,0
107,User7,1916,532,1776,526.1262,1736.955,0,0
108,User7,1931,532,1776,526.1262,1736.955,0,0
109,User7,1948,532,1776,526.1262,1736.955,0,0
110,User7,1964,532,1776,526.5204,1728.771,0,0
111,User7,1978,532,1776,526.5204,1728.771,0,0
112,User7,1994,532,1776,542.1032,1757.709,0,0
113,User7,2092,532,1776,524.241,1744.573,0,0
114,User7,2094,532,1776,524.241,1744.573,0,0
115,User7,2121,532,1776,528.2156,1721.126,0,0
116,User7,2134,532,1776,588.0219,1505.47,0,0
117,User7,2152,651,1686,603.2582,1434.26,0,0
118,User7,2169,651,1686,603.2582,1434.26,0,0
119,User7,2235,733,1610,596.4884,1447.48,0,0
120,User7,2263,817,1542,610.4402,1441.748,0,0
121,User7,2278,818,1541,606.3754,1443.521,0,0
122,User7,2294,818,1541,606.7775,1434.809,0,0
123,User7,2310,818,1541,596.5506,1434.342,0,0
124,User7,2326,818,1541,598.65,1440.125,0,0
125,User7,2342,818,1541,597.153,1434.162,0,0
126,User7,2358,818,1541,602.2322,1430.982,0,0
127,User7,2374,818,1541,626.1252,1391.175,0,0
128,User7,2394,818,1541,691.5978,1170.774,0,0
129,User7,2437,818,1541,742.9165,910.757,0,0
130,User7,2454,818,1541,770.7206,325.1261,0,0
131,User7,2471,818,1541,768.873,339.6881,0,0
132,User7,2503,850,1510,777.0943,332.1627,0,0
133,User7,2518,1018,1349,777.0943,332.1627,0,0
134,User7,2534,1246,1115,770.2474,344.6683,0,0
135,User7,2550,1306,1041,754.7943,341.5762,0,0
136,User7,2580,1370,951,759.6275,345.2476,0,0
137,User7,2596,1398,923,752.7781,335.3158,0,0
138,User7,2613,1412,910,764.0978,335.6744,0,0
139,User7,2629,1414,909,768.6197,333.7375,0,0
140,User7,2644,1414,909,769.1422,342.7946,0,0
141,User7,2660,1414,909,796.4072,347.683,0,0
142,User7,2675,1414,909,1014.416,460.991,0,0
143,User7,2691,1414,909,1216.459,560.4373,0,0
144,User7,2708,1414,909,1250.933,600.0175,0,0
145,User7,2723,1414,909,1244.531,604.0695,0,0
146,User7,2739,1414,909,1231.933,581.6707,0,0
147,User7,2755,1414,909,1235.477,577.5266,0,0
148,User7,2772,1414,909,1237.056,588.0812,0,0
149,User7,2787,1414,909,1233.295,589.8242,0,0
150,User7,2803,1414,909,1234.826,580.1766,0,0
151,User7,2818,1510,831,1240.384,565.8976,0,0
152,User7,2835,1673,675,1245.669,560.1541,0,0
153,User7,2851,1861,516,1233.59,563.0859,0,0
154,User7,2866,2037,376,1231.18,563.6695,0,0
155,User7,2884,2192,253,1231.18,563.6695,0,0
156,User7,2899,2269,179,1243.572,577.9301,0,0
157,User7,2916,2319,137,1238.653,584.4009,0,0
158,User7,2930,2320,136,1238.653,584.4009,0,0
159,User7,2947,2320,136,1234.147,592.1649,0,0
160,User7,2962,2320,136,1282.662,623.9177,0,0
161,User7,2977,2320,136,1346.986,659.1523,0,0
162,User7,2994,2320,136,1346.115,661.6351,0,0
163,User7,3010,2320,136,1338.832,644.1321,0,0
164,User7,3026,2320,136,1335.81,635.9391,0,0
165,User7,3042,2320,136,1335.826,639.6078,0,0
166,User7,3057,2320,136,1330.988,641.4079,0,0
167,User7,3072,2320,136,1332.192,651.7449,0,0
168,User7,3088,2320,136,1336.183,649.2853,0,0
169,User7,3103,2320,136,1329.007,644.7889,0,0
170,User7,3119,2320,136,1334.684,649.555,0,0
171,User7,3135,2353,128,1333.207,644.7617,0,0
172,User7,3152,2405,117,1333.207,644.7617,0,0
173,User7,3168,2440,110,1335.654,648.5958,0,0
174,User7,3217,2451,109,1342.073,660.6499,0,0
175,User7,3235,2451,109,1332.931,654.2111,0,0
176,User7,3263,2458,109,1604.285,566.0752,0,0
177,User7,3279,2458,109,1788.496,453.607,0,0
178,User7,3298,2458,109,1788.496,453.607,0,0
179,User7,3311,2459,109,1799.901,442.2364,0,0
180,User7,3327,2459,109,1797.606,437.1399,0,0
181,User7,3342,2461,109,1791.32,432.6112,0,0
182,User7,3358,2461,111,1795.614,422.9538,0,0
183,User7,3375,2461,111,1782.683,412.1525,0,0
184,User7,3390,2462,111,1783.757,407.3454,0,0
185,User7,3406,2462,111,1951.223,343.1042,0,0
186,User7,3422,2464,111,2145.781,249.7883,0,0
187,User7,3438,2465,111,2326.809,209.6198,0,0
188,User7,3454,2467,111,2317.992,216.1812,0,0
189,User7,3470,2469,111,2318.735,205.7847,0,0
190,User7,3485,2472,110,2319.594,194.1082,0,0
191,User7,3503,2477,107,2307.677,185.2228,0,0
192,User7,3520,2497,100,2316.301,189.9424,0,0
193,User7,3534,2502,99,2316.301,189.9424,0,0
194,User7,3550,2506,99,2321.102,187.4058,0,0
195,User7,3566,2507,99,2323.626,173.8068,0,0
196,User7,3583,2507,99,2324.885,161.796,0,0
197,User7,3599,2507,99,2324.885,161.796,0,0
198,User7,3614,2507,99,2327.621,164.428,0,0
199,User7,3631,2508,99,2336.061,161.8491,0,0
200,User7,3645,2508,99,2331.415,149.3957,0,0
201,User7,3660,2508,99,2339.492,140.2018,0,0
202,User7,3678,2508,99,2333.573,133.4253,0,0
203,User7,3693,2508,99,2336.533,121.9395,0,0
204,User7,3708,2508,99,2350.23,130.7338,0,0
205,User7,3724,2508,99,2376.642,112.1936,0,0
206,User7,3740,2508,99,2389.912,97.88167,0,0
207,User7,3756,2508,99,2398.504,90.70736,0,0
208,User7,3772,2508,99,2393.032,91.06772,0,0
209,User7,3788,2508,99,2395.149,88.97006,0,0
210,User7,3804,2508,99,2397.944,98.18513,0,0
211,User7,3820,2508,99,2397.142,104.8147,0,0
212,User7,3836,2508,99,2397.216,101.7537,0,0
213,User7,3870,2508,99,2397.216,101.7537,0,0
214,User7,3907,2508,99,2392.734,110.2309,0,0
215,User7,3932,2508,99,2398.38,95.53672,0,0
216,User7,3946,2508,99,2398.38,95.53672,0,0
217,User7,3968,2508,99,2398.38,95.53672,0,0
218,User7,4007,2508,99,2398.38,95.53672,0,0
219,User7,4025,2508,99,2365.897,82.20695,0,0
220,User7,4039,2508,99,2363.317,78.28848,0,0
221,User7,4056,2508,99,2365.682,71.10715,0,0
222,User7,4086,2499,108,2373.363,87.3402,0,0
223,User7,4104,2459,144,2353.502,78.38256,0,0
224,User7,4118,2389,197,2360.543,66.05626,0,0
225,User7,4134,2350,228,2358.946,66.4273,0,0
226,User7,4153,2318,245,2355.333,80.10751,0,0
227,User7,4166,2292,257,2364.216,81.18727,0,0
228,User7,4183,2274,264,2364.216,81.18727,0,0
229,User7,4198,2261,271,2369.171,67.74918,0,0
230,User7,4215,2230,274,2379.109,68.98025,0,0
231,User7,4228,2200,276,2381.933,63.0272,0,0
232,User7,4244,2170,278,2372.766,63.26514,0,0
233,User7,4259,2141,280,2373.363,65.46309,0,0
234,User7,4275,2113,282,2376.896,67.25456,0,0
235,User7,4293,2080,286,2371.981,71.31223,0,0
236,User7,4308,2072,286,2370.506,77.91985,0,0
237,User7,4327,2066,286,2367.746,89.48122,0,0
238,User7,4339,2061,284,2373.406,78.99753,0,0
239,User7,4355,2056,282,2372.16,56.10799,0,0
240,User7,4371,2050,276,2197.809,55.82483,0,0
241,User7,4387,2031,261,1979.628,63.4935,0,0
242,User7,4404,2000,234,1929.594,21.29624,0,0
243,User7,4419,1990,222,1929.365,26.16316,0,0
244,User7,4434,1987,219,1940.408,41.31197,0,0
245,User7,4452,1983,211,1939.051,53.2258,0,0
246,User7,4465,1982,206,1933.447,53.79995,0,0
247,User7,4483,1982,201,1935.435,49.28848,0,0
248,User7,4500,1980,197,1936.804,46.96666,0,0
249,User7,4516,1979,192,1936.804,46.96666,0,0
250,User7,4530,1978,189,1933.043,53.82019,0,0
251,User7,4544,1977,186,1938.196,58.34729,0,0
252,User7,4561,1977,184,1938.196,58.34729,0,0
253,User7,4576,1977,182,1940.531,71.66666,0,0
254,User7,4591,1976,182,1933.615,72.6778,0,0
255,User7,4613,1976,182,1909.09,67.57231,0,0
256,User7,4624,1976,182,1881.13,65.17904,0,0
257,User7,4640,1976,182,1881.637,74.20628,0,0
258,User7,4656,1976,182,1886.833,77.71766,0,0
259,User7,4670,1975,182,1876.242,80.25767,0,0
260,User7,4686,1975,182,1868.62,80.92838,0,0
261,User7,4702,1975,182,1879.712,80.85607,0,0
262,User7,4718,1975,181,1876.306,82.60207,0,0
263,User7,4734,1975,181,1869.179,74.72382,0,0
264,User7,4749,1975,181,1869.179,74.72382,0,0
265,User7,4766,1975,179,1873.808,72.49214,0,0
266,User7,4781,1973,179,1879.843,82.15296,0,0
267,User7,4798,1973,179,1877.403,93.33184,0,0
268,User7,4813,1973,179,1887.716,86.78006,0,0
269,User7,4829,1973,179,1900.234,78.3268,0,0
270,User7,4844,1972,178,1895.129,77.30824,0,0
271,User7,4863,1972,178,1895.129,77.30824,0,0
