RID,SubjectName,Time(ms),MousePosX(px),MousePosY(px),GazePosX(px),GazePosY(px),ScrollTopX(px),ScrollTopY(px)
1,User4、,104,541,435,465.7108,304.3332,0,0
2,User4、,123,541,435,443.5683,316.0881,0,0
3,User4、,149,541,435,446.226,285.146,0,0
4,User4、,165,541,435,446.226,285.146,0,0
5,User4、,181,541,435,446.226,285.146,0,0
6,User4、,197,541,435,446.226,285.146,0,0
7,User4、,212,541,435,444.4539,272.6684,0,0
8,User4、,227,541,435,444.4539,272.6684,0,0
9,User4、,244,541,435,448.4391,278.575,0,0
10,User4、,259,541,435,448.4391,278.575,0,0
11,User4、,275,541,435,448.4391,278.575,0,0
12,User4、,290,541,435,475.116,463.6555,0,0
13,User4、,307,541,435,451.9696,477.9339,0,0
14,User4、,322,541,435,428.8232,492.2124,0,0
15,User4、,339,541,435,428.8232,492.2124,0,0
16,User4、,354,541,435,428.8232,492.2124,0,0
17,User4、,370,541,435,428.8232,492.2124,0,0
18,User4、,386,541,435,428.8232,492.2124,0,0
19,User4、,402,557,446,428.8232,492.2124,0,0
20,User4、,419,619,486,428.8232,492.2124,0,0
21,User4、,435,669,521,428.8232,492.2124,0,0
22,User4、,451,753,566,428.8232,492.2124,0,0
23,User4、,466,894,660,606.3262,356.8361,0,0
24,User4、,481,981,715,606.3262,356.8361,0,0
25,User4、,497,1026,747,606.3262,356.8361,0,0
26,User4、,513,1072,779,595.6282,367.2093,0,0
27,User4、,529,1106,801,606.2942,371.7619,0,0
28,User4、,545,1130,815,623.6138,459.4936,0,0
29,User4、,560,1149,824,616.3376,462.681,0,0
30,User4、,575,1169,831,608.5865,402.248,0,0
31,User4、,592,1196,831,613.4606,405.1486,0,0
32,User4、,608,1218,831,611.4741,412.9221,0,0
33,User4、,623,1246,829,608.8617,417.0258,0,0
34,User4、,638,1268,823,598.4899,451.6341,0,0
35,User4、,653,1286,818,591.1465,438.1089,0,0
36,User4、,670,1304,812,615.832,446.5817,0,0
37,User4、,685,1322,805,623.3082,460.5039,0,0
38,User4、,700,1335,800,632.5132,427.6071,0,0
39,User4、,717,1346,794,628.1989,430.5316,0,0
40,User4、,734,1349,792,628.1989,430.5316,0,0
41,User4、,749,1356,785,632.5687,432.6034,0,0
42,User4、,765,1374,763,627.797,417.8339,0,0
43,User4、,780,1401,742,612.1775,448.3056,0,0
44,User4、,799,1452,712,612.1775,448.3056,0,0
45,User4、,827,1482,695,618.463,364.7986,0,0
46,User4、,843,1487,689,618.463,364.7986,0,0
47,User4、,860,1496,682,618.463,364.7986,0,0
48,User4、,874,1506,670,1467.33,512.5294,0,0
49,User4、,889,1518,661,1467.33,512.5294,0,0
50,User4、,904,1527,656,1476.716,559.032,0,0
51,User4、,920,1534,653,1476.716,559.032,0,0
52,User4、,936,1539,652,1391.391,539.4591,0,0
53,User4、,951,1544,649,1391.391,539.4591,0,0
54,User4、,968,1549,647,1391.391,539.4591,0,0
55,User4、,984,1552,647,1391.391,539.4591,0,0
56,User4、,1000,1552,647,1391.391,539.4591,0,0
57,User4、,1014,1552,647,1391.391,539.4591,0,0
58,User4、,1029,1552,647,1391.391,539.4591,0,0
59,User4、,1045,1552,647,1391.391,539.4591,0,0
60,User4、,1061,1552,647,1391.391,539.4591,0,0
61,User4、,1076,1552,647,1391.391,539.4591,0,0
62,User4、,1093,1552,647,1391.391,539.4591,0,0
63,User4、,1125,1552,647,1391.391,539.4591,0,0
64,User4、,1139,1552,647,1273.883,621.6998,0,0
65,User4、,1156,1552,647,1259.891,599.783,0,0
66,User4、,1172,1552,647,1279.437,586.2349,0,0
67,User4、,1188,1552,647,1279.437,586.2349,0,0
68,User4、,1204,1552,647,1279.437,586.2349,0,0
69,User4、,1220,1552,647,1279.437,586.2349,0,0
70,User4、,1236,1552,647,1279.437,586.2349,0,0
71,User4、,1252,1552,647,1279.437,586.2349,0,0
72,User4、,1267,1552,647,1279.437,586.2349,0,0
73,User4、,1284,1552,647,1279.437,586.2349,0,0
74,User4、,1298,1552,647,1279.437,586.2349,0,0
75,User4、,1315,1552,647,1279.437,586.2349,0,0
76,User4、,1329,1552,647,1279.437,586.2349,0,0
77,User4、,1345,1552,647,1269.975,504.4372,0,0
78,User4、,1361,1552,647,1269.975,504.4372,0,0
79,User4、,1377,1552,647,1269.975,504.4372,0,0
80,User4、,1393,1552,647,1269.975,504.4372,0,0
81,User4、,1409,1552,647,1269.975,504.4372,0,0
82,User4、,1425,1552,647,1269.975,504.4372,0,0
83,User4、,1441,1552,647,1269.975,504.4372,0,0
84,User4、,1457,1552,647,1269.975,504.4372,0,0
85,User4、,1473,1589,617,1269.975,504.4372,0,0
86,User4、,1489,1818,458,1269.975,504.4372,0,0
87,User4、,1504,2023,361,1269.975,504.4372,0,0
88,User4、,1520,2214,298,1269.975,504.4372,0,0
89,User4、,1536,2355,261,1269.975,504.4372,0,0
90,User4、,1566,2493,210,1269.975,504.4372,0,0
91,User4、,1584,2536,183,1269.975,504.4372,0,0
92,User4、,1600,2545,179,1269.975,504.4372,0,0
93,User4、,1615,2551,176,1269.975,504.4372,0,0
94,User4、,1632,2556,173,1269.975,504.4372,0,0
95,User4、,1645,2560,171,1269.975,504.4372,0,0
96,User4、,1677,2566,165,1382.149,564.6401,0,0
97,User4、,1707,2573,152,1396.032,510.8725,0,0
98,User4、,1723,2574,149,1396.032,510.8725,0,0
99,User4、,1741,2576,136,1396.032,510.8725,0,0
100,User4、,1755,2572,123,1396.032,510.8725,0,0
101,User4、,1772,2564,110,1396.032,510.8725,0,0
102,User4、,1787,2558,101,1396.032,510.8725,0,0
103,User4、,1803,2552,98,1396.032,510.8725,0,0
104,User4、,1819,2537,94,1396.032,510.8725,0,0
105,User4、,1834,2527,92,1396.032,510.8725,0,0
106,User4、,1850,2515,92,1396.032,510.8725,0,0
107,User4、,1865,2504,92,1396.032,510.8725,0,0
108,User4、,1880,2496,92,1396.032,510.8725,0,0
109,User4、,1896,2491,92,1396.032,510.8725,0,0
110,User4、,1926,2482,92,1396.032,510.8725,0,0
111,User4、,1958,2478,92,1396.032,510.8725,0,0
112,User4、,1973,2478,92,1396.032,510.8725,0,0
113,User4、,2004,2478,92,1396.032,510.8725,0,0
114,User4、,2021,2479,92,1396.032,510.8725,0,0
115,User4、,2037,2479,92,1657.224,404.0546,0,0
116,User4、,2053,2480,92,1657.224,404.0546,0,0
117,User4、,2067,2480,92,1412.282,440.7097,0,0
118,User4、,2084,2480,92,1387.872,511.0681,0,0
119,User4、,2100,2480,92,1363.357,491.8321,0,0
120,User4、,2115,2480,92,1356.656,481.9255,0,0
121,User4、,2131,2480,92,1356.656,481.9255,0,0
122,User4、,2147,2480,92,1326.66,535.7142,0,0
123,User4、,2162,2480,92,1326.66,535.7142,0,0
124,User4、,2179,2480,92,1326.66,535.7142,0,0
125,User4、,2219,2480,92,1383.4,483.2251,0,0
126,User4、,2240,2480,92,1372.622,453.6783,0,0
127,User4、,2273,2480,92,1372.622,453.6783,0,0
128,User4、,2302,2480,92,1372.622,453.6783,0,0
129,User4、,2319,2480,92,1372.622,453.6783,0,0
130,User4、,2334,2480,92,1372.622,453.6783,0,0
131,User4、,2351,2480,92,1372.622,453.6783,0,0
132,User4、,2366,2480,92,1372.622,453.6783,0,0
133,User4、,2383,2480,92,1372.622,453.6783,0,0
134,User4、,2399,2480,92,1372.622,453.6783,0,0
135,User4、,2414,2480,92,1372.622,453.6783,0,0
136,User4、,2431,2480,92,1372.622,453.6783,0,0
137,User4、,2444,2480,92,1372.622,453.6783,0,0
138,User4、,2463,2448,110,1372.622,453.6783,0,0
139,User4、,2478,2406,132,1372.622,453.6783,0,0
140,User4、,2506,2326,167,1372.622,453.6783,0,0
141,User4、,2522,2289,179,1372.622,453.6783,0,0
142,User4、,2537,2251,192,1372.622,453.6783,0,0
143,User4、,2552,2220,200,1372.622,453.6783,0,0
144,User4、,2567,2190,204,1372.622,453.6783,0,0
145,User4、,2598,2165,202,1979.324,188.2634,0,0
146,User4、,2628,2141,199,1973.178,174.4249,0,0
147,User4、,2644,2132,196,1973.178,174.4249,0,0
148,User4、,2659,2123,193,2009.152,136.0713,0,0
149,User4、,2676,2115,193,1985.042,121.6721,0,0
150,User4、,2693,2109,190,1983.694,137.5957,0,0
151,User4、,2723,2102,188,1997.617,107.5452,0,0
152,User4、,2739,2100,188,2006.104,62.45983,0,0
153,User4、,2755,2095,187,1995.896,49.2967,0,0
154,User4、,2771,2086,182,1942.717,63.89895,0,0
155,User4、,2787,2075,179,1949.737,79.58348,0,0
156,User4、,2802,2065,175,1947.171,87.44451,0,0
157,User4、,2833,2019,166,1937.937,100.5758,0,0
158,User4、,2848,1997,166,1934.348,87.86077,0,0
159,User4、,2864,1983,164,1997.204,45.77688,0,0
160,User4、,2880,1974,164,1997.204,45.77688,0,0
161,User4、,2913,1964,164,1908.897,138.64,0,0
162,User4、,2941,1962,164,2005.123,97.94045,0,0
163,User4、,2956,1961,164,2005.123,97.94045,0,0
164,User4、,2972,1961,166,1925.415,148.0186,0,0
165,User4、,2988,1961,167,1925.647,170.9081,0,0
166,User4、,3004,1962,167,1900.275,155.5226,0,0
167,User4、,3020,1962,167,1951.484,70.23503,0,0
168,User4、,3036,1962,167,1951.727,77.33246,0,0
169,User4、,3053,1962,167,1950.239,81.6362,0,0
170,User4、,3069,1961,167,1948.818,82.03525,0,0
171,User4、,3085,1958,167,1919.802,79.18945,0,0
172,User4、,3100,1958,167,1829.74,104.4446,0,0
173,User4、,3118,1958,167,1829.74,104.4446,0,0
174,User4、,3148,1958,167,1829.163,121.0351,0,0
175,User4、,3163,1958,167,1880.749,115.4582,0,0
176,User4、,3178,1958,167,1880.749,115.4582,0,0
177,User4、,3195,1958,167,1880.749,115.4582,0,0
178,User4、,3211,1958,167,1885.215,103.5601,0,0
179,User4、,3226,1958,167,1866.158,97.47247,0,0
180,User4、,3241,1958,167,1825.883,92.35813,0,0
181,User4、,3258,1958,167,1836.977,88.79408,0,0
182,User4、,3273,1958,167,1853.552,92.89693,0,0
183,User4、,3288,1958,167,1848.698,95.73696,0,0
184,User4、,3304,1958,167,1794.941,129.0579,0,0
185,User4、,3321,1958,167,1794.941,129.0579,0,0
186,User4、,3336,1943,177,1794.941,129.0579,0,0
187,User4、,3351,1898,208,1794.941,129.0579,0,0
188,User4、,3367,1846,256,1794.941,129.0579,0,0
189,User4、,3383,1803,289,1794.941,129.0579,0,0
190,User4、,3399,1758,339,1823.394,163.9459,0,0
191,User4、,3415,1740,363,1823.394,163.9459,0,0
192,User4、,3430,1728,373,1823.394,163.9459,0,0
193,User4、,3444,1722,376,1823.394,163.9459,0,0
194,User4、,3461,1721,376,1823.394,163.9459,0,0
195,User4、,3477,1719,376,1823.394,163.9459,0,0
196,User4、,3492,1719,376,1823.394,163.9459,0,0
197,User4、,3507,1719,376,1823.394,163.9459,0,0
198,User4、,3523,1719,374,1823.394,163.9459,0,0
199,User4、,3556,1719,374,1823.394,163.9459,0,0
200,User4、,3586,1719,374,1823.394,163.9459,0,0
201,User4、,3602,1719,374,1823.394,163.9459,0,0
202,User4、,3616,1719,374,1823.394,163.9459,0,0
203,User4、,3633,1719,374,1823.394,163.9459,0,0
204,User4、,3649,1719,374,1823.394,163.9459,0,0
205,User4、,3666,1719,374,1823.394,163.9459,0,0
206,User4、,3680,1719,374,1823.394,163.9459,0,0
207,User4、,3695,1719,374,1293.193,520.5569,0,0
208,User4、,3714,1829,359,1263.996,442.7014,0,0
209,User4、,3744,2100,323,1270.886,456.569,0,0
